show_id,show_canonical_name,show_clips_count,show_description,show_episodes_count,show_genre,show_genres,show_name,show_rating,show_seasons_count,show_series_id,show_videos_count,show_company_id,show_company_channel_id,show_company_name,show_genres
4910,bobs-burgers,99,"Bob runs Bob's Burgers with the help of his wife and their three kids. Business may be slow, but they never give up hope.",129,Animation and Cartoons,Animation and Cartoons~Primetime Animation~Comedy,Bob's Burgers,4.323962371,7,50001677,228,8,2,FOX,Animation and Cartoons~Primetime Animation~Comedy
7529,new-girl,139,"An ensemble comedy centering on a free-spirited young woman, her three male roommates and her best friend, as they navigate modern relationships and end up forming a charmingly dysfunctional â€“ or strangely functional â€“  family.",22,Comedy,Comedy~Sitcoms~Teen,New Girl,4.588292488,1,50004647,161,8,2,FOX,Comedy~Sitcoms~Teen
2103,glee,0,"A group of ambitious and talented kids find strength, acceptance and, ultimately, their voices in this uplifting musical comedy.",121,Drama,Drama~Music~Musicals~Comedy~Teen,Glee,4.187489416,6,11725,121,8,2,FOX,Drama~Music~Musicals~Comedy~Teen
10,bones,60,Forensic anthropologist Dr. Temperance Brennan uses her uncanny ability to read clues left behind in bones to help FBI agent Seeley Booth solve murder cases. Based on the life of anthropologist and novelist Kathy Reichs.,246,Drama,Drama~Crime and Courtroom Drama,Bones,4.618597705,12,384,306,8,2,FOX,Drama~Crime and Courtroom Drama
11226,nashville,426,"A legendary queen of country music struggles to maintain her place in the spotlight while dealing with an ambitious rising pop-country vixen who wants to knock her off the throne. From executive producer Callie Khouri (writer of Thelma & Louise) comes this contemporary musical drama about love, power, money, family and music. ",107,Drama,Drama~Music~Musicals,Nashville,4.424495117,5,50008475,533,390,50000125,CMT,Drama~Music~Musicals
22278,regular-show,220,"Mordecai â€“ a sarcastic blue jay, and Rigby â€“ a somewhat responsible raccoon, are best friends. They even work together at a park owned by Pops, a big lollipop-headed guy. Which seems normal enough. Theyâ€™ve got a cranky gumball machine for a boss and they work alongside a Zen-like yeti named Skips. Yep. Everything is as regular as can be.",217,Kids,Kids~Animation and Cartoons~Teen,Regular Show,4.061273937,7,50020482,437,855,50000651,Cartoon Network,Kids~Animation and Cartoons~Teen
7555,once-upon-a-time,135,"From the inventive minds of Lost executive producers Adam Horowitz and Edward Kitsis comes a bold new imagining of the world, where fairy tales and the modern day are about to collide.",22,Drama,Drama~Science Fiction~Science Fiction - Thriller~Teen~Family,Once Upon a Time,4.715775889,1,50004389,157,231,282,ABC,Drama~Science Fiction~Science Fiction - Thriller~Teen~Family
22881,rick-and-morty,21,"Rick and Morty is a show about a sociopathic scientist who drags his unintelligent grandson on insanely dangerous adventures across the universe. Created and executive produced by Dan Harmon (Community, Channel 101) and Justin Roiland (House of Cosbys).",21,Animation and Cartoons,Animation and Cartoons~Primetime Animation~Teen,Rick and Morty,4.772879511,2,50020410,42,856,50000660,Adult Swim,Animation and Cartoons~Primetime Animation~Teen
6341,workaholics,69,"College is over but the party isnâ€™t. Join three best buds as they share a job, a crash pad and a promise to never let work get in the way of a good timeâ€”on this raucously original series.",86,Comedy,Comedy,Workaholics,4.577148191,7,50003271,155,99,129,Comedy Central,Comedy
1318,bleach,0,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever when Rukia transfers most of her powers to him. Now a Soul Reaper himself with a new found wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil. But when Rukia's actions are called under scrutiny, Ichigo and his friends must put everything on the line to prepare to save their friend from the harsh justice of the Soul Society.",732,Anime,Anime~Anime - Supernatural and Horror~International~Japanese~Teen,Bleach,4.421983759,26,10374,732,960,50000741,Viz Media,Anime~Anime - Supernatural and Horror~International~Japanese~Teen
